conceptId,term,category
1003605004,Glaucoma suspect due to diabetes mellitus type 2 (disorder),type 2
100631000000108,O/E - right eye background diabetic retinopathy,unspecified
100641000000104,O/E - left eye background diabetic retinopathy,unspecified
100651000000101,O/E - right eye preproliferative diabetic retinopathy,unspecified
100661000000103,O/E - left eye preproliferative diabetic retinopathy,unspecified
100671000000105,O/E - right eye proliferative diabetic retinopathy,unspecified
100681000000107,O/E - left eye proliferative diabetic retinopathy,unspecified
100691000000109,O/E - left eye diabetic maculopathy,unspecified
101951000000100,Diabetic retinopathy screening not indicated,unspecified
101961000000102,Diabetic foot examination not indicated,unspecified
102141000000105,Diabetes key contact,unspecified
102161000000106,Patient held diabetic record issued,unspecified
102261000000104,Seen in diabetic foot clinic,unspecified
102441000000101,Under care of diabetologist,unspecified
102451000000103,Under care of diabetes specialist nurse,unspecified
1024511000000105,Seen by diabetes specialist nurse (finding),unspecified
1024521000000104,Seen by diabetes specialist nurse ,unspecified
1024551000000109,Under care of hospital-based diabetes specialist nurse (finding),unspecified
1024561000000107,Under care of hospital-based diabetes specialist nurse ,unspecified
1024571000000100,Under care of community-based diabetes specialist nurse (finding),unspecified
1024581000000103,Under care of community-based diabetes specialist nurse ,unspecified
102491000000106,Under care of diabetic foot screener,unspecified
102621000119101,Skin ulcer due to type 2 diabetes mellitus,type 2
102781000119107,Sensory neuropathy due to type 1 diabetes mellitus (disorder),type 1
102961000000109,Exception reporting: diabetes quality indicators,unspecified
102971000000102,Excepted from diabetes quality indicators: Patient unsuitable,unspecified
102981000000100,Excepted from diabetes quality indicators: Informed dissent,unspecified
1033281000000100,Expert patient education versus routine treatment First Steps diabetes self-management programme completed (situation),unspecified
1033291000000103,X-PERT (expert patient education versus routine treatment) First Steps diabetes self-management programme completed ,unspecified
103981000119101,Proliferative diabetic retinopathy following surgery,unspecified
104011000000100,Type 1 diabetes mellitus with exudative maculopathy,type 1
104021000000106,Type 2 diabetes mellitus with exudative maculopathy,type 2
104881000000101,Patient on maximal tolerated therapy for diabetes,unspecified
104941000119109,Retinal ischemia due to type 1 diabetes mellitus,type 1
104951000119106,Vitreous haemorrhage due to type 1 diabetes mellitus,type 1
104961000119108,Retinal ischemia due to type 2 diabetes mellitus,type 2
104971000000106,Diabetic retinopathy 12 month review,unspecified
1051101000000103,Pregnancy and insulin-dependent diabetes mellitus,type 1
1051111000000101,Pregnancy and non-insulin-dependent diabetes mellitus,type 2
105131000000108,Diabetic foot examination not indicated,unspecified
105261000000105,Diabetes key contact,unspecified
105271000000103,Patient held diabetic record issued,unspecified
105401000119101,Diabetes mellitus due to pancreatic injury (disorder),unspecified
1054201000000109,Seen in diabetes preconception counselling clinic,unspecified
1054211000000106,Seen in community diabetes antenatal clinic,unspecified
1054221000000100,Seen in hospital diabetes antenatal clinic,unspecified
1054231000000103,Referral to community diabetes antenatal clinic,unspecified
1054241000000107,Referral to hospital diabetes antenatal clinic,unspecified
105491000000103,Under care of diabetes specialist nurse,unspecified
105521000000100,Under care of diabetic foot screener,unspecified
105881000000102,Exception reporting: diabetes quality indicators,unspecified
105891000000100,Excepted from diabetes quality indicators: Patient unsuitable,unspecified
1062921000000105,Diabetes Therapy Outcome Measure activity score (observable entity),unspecified
1062931000000107,Diabetes Therapy Outcome Measure carer wellbeing score (observable entity),unspecified
1062941000000103,Diabetes Therapy Outcome Measure impairment score (observable entity),unspecified
1062951000000100,Diabetes Therapy Outcome Measure participation score (observable entity),unspecified
1062961000000102,Diabetes Therapy Outcome Measure wellbeing score (observable entity),unspecified
10656231000119100,Skin ulcer of toe due to diabetes mellitis type 1 (disorder),type 1
10656271000119102,Skin ulcer of toe due to diabetes mellitis type 2,type 2
10660471000119109,Ulcer of left foot co-occurrent and due to diabetes mellitus type 2 (disorder),type 2
10661671000119102,Ulcer of right foot co-occurrent and due to diabetes mellitus type 2 (disorder),type 2
1066911000000100,Diabetes monitoring short message service text message first invitation (procedure),unspecified
1066921000000106,Diabetes monitoring short message service text message second invitation (procedure),unspecified
1066931000000108,Diabetes monitoring short message service text message third invitation (procedure),unspecified
1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1 (disorder),type 1
106861000000102,Health education - diabetes,unspecified
107421000000105,Patient on maximal tolerated therapy for diabetes,unspecified
107511000000100,Diabetic retinopathy 12 month review,unspecified
107521000000106,Diabetic retinopathy 6 month review,unspecified
1078611000000103,Emergency hospital admission to paediatric diabetes service,unspecified
1079491000000102,Paediatric diabetes service,unspecified
1083111000000108,Diabetes monitoring invitation email,unspecified
1085581000000105,Assessment using DTSQs (Diabetes Treatment Satisfaction Questionnaire status version),unspecified
1085591000000107,DTSQs (Diabetes Treatment Satisfaction Questionnaire status version) score,unspecified
108781000119105,Neuropathic ulcer of midfoot AND/OR heel due to type 2 diabetes mellitus (disorder),type 2
108791000119108,Suspected glaucoma due to type 2 diabetes mellitus (situation),type 2
108861000000101,Neuropathic diabetic ulcer - foot,unspecified
1089091000000101,Assessment using UKPDS (United Kingdom Prospective Diabetes Study) risk engine,unspecified
1089101000000109,UKPDS (United Kingdom Prospective Diabetes Study) risk engine score,unspecified
1090051000000100,Skin ulcer associated with diabetes mellitus (disorder),unspecified
109171000119104,Retinal oedema due to type 1 diabetes mellitus,type 1
1097131000000105,Remote diabetes structured education and support programme commenced,unspecified
1097141000000101,Remote diabetes structured education and support programme completed,unspecified
1098011000000102,Did not commence remote structured diabetes education and support programme,unspecified
1099121000000104,Young Townson FootSkin Hydration Scale for Diabetic Neuropathy level,unspecified
1099151000000109,Referral for diabetic care,unspecified
10995761000119100,History of diabetic foot ulcer (situation),unspecified
110141000119100,Ulcer of lower limb due to type 1 diabetes mellitus (disorder),type 1
